source,target
25185308,1
25185308,1
1400099953,2
1400099953,3
1400099953,4
1400099953,5
1400099953,6
1400099953,2
1400099953,7
1400099953,2
1400099953,8
262814659,9
262814659,10
262814659,11
262814659,12
262814659,13
262814659,13
262814659,14
262814659,15
262814659,15
262814659,15
262814659,16
262814659,17
262814659,18
262814659,19
262814659,20
262814659,21
262814659,22
148925237,23
148925237,24
148925237,25
148925237,26
148925237,23
148925237,27
148925237,26
148925237,28
148925237,29
148925237,26
148925237,30
148925237,26
148925237,31
148925237,26
148925237,30
148925237,32
108717093,33
31162623,34
31162623,35
31162623,36
31162623,37
31162623,38
31162623,39
31162623,39
31162623,40
31162623,41
31162623,42
31162623,40
31162623,41
31162623,43
31162623,44
31162623,45
31162623,46
31162623,47
31162623,47
31162623,48
31162623,49
31162623,50
31162623,51
31162623,52
31162623,52
31162623,52
31162623,53
31162623,54
31162623,54
31162623,55
31162623,55
31162623,55
31162623,56
31162623,56
31162623,41
31162623,57
31162623,58
43395943,59
43395943,59
43395943,60
43395943,61
43395943,61
49681553,1
49681553,40
860563925800235008,62
1387812343162277888,24
1387812343162277888,24
1387812343162277888,24
1387812343162277888,24
1387812343162277888,63
1387812343162277888,45
1387812343162277888,64
1387812343162277888,65
66711542,66
66711542,67
66711542,68
66711542,69
66711542,67
66711542,70
66711542,71
66711542,40
66711542,40
66711542,45
66711542,72
66711542,73
66711542,74
66711542,75
66711542,73
66711542,69
66711542,73
66711542,69
66711542,56
933739074401251328,76
933739074401251328,76
933739074401251328,77
933739074401251328,78
933739074401251328,56
933739074401251328,56
138135627,79
138135627,80
138135627,81
138135627,82
138135627,81
138135627,83
268322810,84
268322810,85
268322810,52
154021500,40
154021500,86
53187962,87
53187962,30
53187962,88
53187962,89
53187962,87
53187962,90
53187962,91
53187962,92
53187962,90
53187962,93
53187962,90
53187962,94
53187962,88
53187962,88
53187962,95
53187962,96
53187962,95
53187962,90
53187962,88
53187962,88
53187962,97
53187962,89
53187962,98
53187962,90
53187962,88
53187962,93
53187962,30
53187962,88
53187962,99
53187962,95
53187962,95
53187962,30
53187962,88
53187962,93
53187962,92
53187962,99
53187962,88
53187962,93
53187962,30
53187962,90
53187962,88
53187962,88
53187962,100
53187962,101
53187962,102
53187962,88
53187962,103
53187962,88
53187962,93
53187962,88
53187962,99
53187962,104
53187962,56
53187962,95
53187962,88
53187962,90
53187962,92
53187962,99
53187962,99
53187962,30
53187962,105
53187962,90
53187962,30
53187962,92
53187962,99
1729302205,30
1729302205,106
1729302205,107
1729302205,108
1729302205,109
1729302205,109
1729302205,30
1729302205,110
110590953,111
110590953,112
110590953,112
110590953,30
110590953,113
110590953,112
110590953,114
110590953,115
110590953,116
110590953,112
110590953,112
110590953,117
110590953,118
110590953,119
110590953,120
110590953,121
110590953,4
110590953,5
110590953,122
110590953,112
110590953,123
110590953,112
110590953,30
110590953,112
110590953,124
110590953,125
110590953,112
110590953,126
110590953,124
110590953,112
110590953,127
110590953,112
110590953,128
110590953,129
110590953,130
110590953,30
110590953,131
