source,target
25185308,2
25185308,9
1400099953,8
1400099953,10
1400099953,1
262814659,2
262814659,10
262814659,6
262814659,6
262814659,10
262814659,10
262814659,10
262814659,5
262814659,5
262814659,10
262814659,9
262814659,10
350862112,7
149281495,5
149281495,2
148925237,10
148925237,7
148925237,10
148925237,2
148925237,2
148925237,9
108717093,2
108717093,5
108717093,1
108717093,1
108717093,10
108717093,2
108717093,6
108717093,10
823348278830002177,2
31162623,3
31162623,2
31162623,6
31162623,7
31162623,2
31162623,10
31162623,5
31162623,10
31162623,5
31162623,2
31162623,10
31162623,10
31162623,10
31162623,10
31162623,10
31162623,5
31162623,5
31162623,5
31162623,9
31162623,1
31162623,10
31162623,6
31162623,10
31162623,6
1334582502921547780,8
43395943,10
43395943,1
43395943,5
43395943,10
43395943,10
43395943,10
43395943,10
43395943,10
43395943,10
43395943,10
43395943,10
43395943,10
43395943,10
49681553,10
860563925800235008,7
860563925800235008,10
860563925800235008,10
860563925800235008,10
1387812343162277888,3
1387812343162277888,1
1387812343162277888,2
1387812343162277888,1
1387812343162277888,10
1387812343162277888,10
1387812343162277888,1
1387812343162277888,10
1387812343162277888,10
1387812343162277888,3
66711542,10
66711542,10
66711542,10
66711542,2
66711542,10
66711542,10
66711542,1
66711542,7
66711542,10
66711542,2
66711542,9
66711542,10
66711542,10
100006904,10
100006904,5
100006904,2
933739074401251328,10
933739074401251328,10
933739074401251328,10
933739074401251328,10
933739074401251328,10
933739074401251328,2
933739074401251328,10
933739074401251328,10
933739074401251328,10
933739074401251328,2
933739074401251328,10
933739074401251328,10
179584524,10
138135627,2
138135627,7
268322810,2
268322810,1
98781946,10
53187962,10
53187962,10
53187962,10
53187962,10
53187962,10
53187962,10
53187962,10
53187962,10
53187962,10
53187962,10
53187962,10
53187962,10
53187962,10
53187962,10
53187962,10
1729302205,1
1729302205,10
1729302205,5
1729302205,6
1729302205,5
1729302205,6
1729302205,10
110590953,10
110590953,10
110590953,5
110590953,10
110590953,10
110590953,10
110590953,10
110590953,5
110590953,10
110590953,1
110590953,1
110590953,10
110590953,2
110590953,2
110590953,1
110590953,10
110590953,1
110590953,1
110590953,6
110590953,2
110590953,10
110590953,10
110590953,10
110590953,10
110590953,10
1345927232,1
61097151,1
61097151,10
61097151,7
61097151,6
61097151,10
61097151,10
61097151,10
206486600,10
206486600,10
206486600,2
206486600,2
2197086420,10
38670671,5
38670671,9
68506967,10
98781946,9
98781946,5
98781946,9
98781946,2
98781946,2
98781946,6
98781946,10
98781946,2
98781946,7
98781946,6
98781946,7
98781946,10
98781946,5
98781946,9
98781946,2
98781946,1
98781946,5
98781946,9
1273992725025755138,7
98781946,10
98781946,10
98781946,10
3544845552,10
3544845552,2
3544845552,9
3544845552,2
3544845552,2
3544845552,2
3544845552,2
3544845552,10
50981729,4
2202387091,10
2202387091,9
2202387091,2
2202387091,2
1466003185,9
1466003185,1
1466003185,3
1466003185,7
1466003185,5
1466003185,2
1466003185,7
1466003185,1
1466003185,10
1466003185,1
1466003185,7
1466003185,5
1466003185,10
1466003185,6
1466003185,10
1466003185,10
1466003185,10
1466003185,10
1466003185,10
1466003185,5
1466003185,10
1466003185,9
1466003185,9
213769894,10
213769894,10
213769894,10
213769894,9
213769894,1
213769894,6
213769894,9
59705520,1
80417990,10
150444438,9
314218779,6
373138480,2
373138480,10
373138480,10
373138480,10
373138480,10
373138480,10
373138480,10
373138480,9
373138480,5
373138480,7
373138480,6
70539007,10
70539007,5
219990061,2
219990061,5
981582600769859584,7
219990061,9
219990061,9
219990061,2
219990061,9
219990061,5
219990061,1
219990061,1
219990061,10
219990061,2
219990061,2
219990061,10
219990061,5
219990061,2
1387577764056911872,2
219990061,1
219990061,6
219990061,2
219990061,1
219990061,6
219990061,1
219990061,1
219990061,6
219990061,6
219990061,5
219990061,5
219990061,1
219990061,6
473338133,10
473338133,10
473338133,10
473338133,10
473338133,10
473338133,2
473338133,6
473338133,5
473338133,3
473338133,3
473338133,3
473338133,10
473338133,10
473338133,10
473338133,10
473338133,10
473338133,10
473338133,5
473338133,10
473338133,10
473338133,10
473338133,10
473338133,10
473338133,10
473338133,6
473338133,2
473338133,10
473338133,10
473338133,10
473338133,2
473338133,10
473338133,2
473338133,10
473338133,2
473338133,5
473338133,10
473338133,3
473338133,1
473338133,10
473338133,2
473338133,3
473338133,3
473338133,10
473338133,10
473338133,10
473338133,2
473338133,10
473338133,10
473338133,6
473338133,3
473338133,10
473338133,10
473338133,2
473338133,10
473338133,10
473338133,10
473338133,10
473338133,10
473338133,3
191465222,2
191465222,1
191465222,10
191465222,10
191465222,10
191465222,10
191465222,10
191465222,10
191465222,1
191465222,10
191465222,10
191465222,9
191465222,6
191465222,10
191465222,10
191465222,5
191465222,10
191465222,6
191465222,10
191465222,10
191465222,10
191465222,9
191465222,9
191465222,10
191465222,10
191465222,10
191465222,10
191465222,8
191465222,6
191465222,10
191465222,10
191465222,2
191465222,9
191465222,3
191465222,10
191465222,1
191465222,5
191465222,1
191465222,10
191465222,10
191465222,10
191465222,5
242425204,10
242425204,9
242425204,9
242425204,6
242425204,10
242425204,10
242425204,6
259748538,5
1405575077001900040,7
1436877635586596864,5
1314986332096262145,9
141432517,5
1453553413741023232,6
1223987062476591106,5
1421888437817380864,9
1458329072,2
1179751206,5
1203093454856867841,7
940397145492017152,6
1388175215092543497,2
1469939432954413056,5
386050296,7
180907190,5
260397381,4
1312914744945315840,10
119534463,4
3146114494,5
1472283020178644997,5
626084351,4
1488954648,4
962436013019811840,3
992921497089003521,3
2677243814,5
1232106115187515398,5
556494616,9
1460942122115375104,5
1232106115187515398,5
498910001,1
184903252,1
252541872,2
1321897121210093568,5
991244418,2
318694892,7
1452012289670922242,5
1426016587484631042,1
1231754026879942656,10
1698912571,3
180992365,5
1049815982003359744,3
1346955435207663620,6
3232416831,9
631535482,9
67061592,7
813038373850017792,5
1300977316068233218,10
1300977316068233218,5
38333429,10
838687056,10
1427836356177403912,1
1392345894691950594,10
1464584946442461190,5
601414121,10
713374416,7
1388175215092543497,2
1389732572993757185,5
2361098143,1
1467513225155600387,4
1357810817736077313,5
1939207782,10
2744175719,5
1442571428474228742,5
1079269316053282816,2
1344437566037229571,7
1316897507247558657,5
1861062565,2
2209289514,1
1464969997260894209,7
1269821594899296256,7
25185308,7
1325017290291761152,3
224128088,5
1221097353136033793,7
201271985,6
1389081013805096961,4
1456232953479061506,3
803773754480455680,9
1202245351,5
730170644877455361,7
325586608,10
1292504348459782145,10
1397195988847185929,1
337328558,9
865036912599470081,5
1463306340076556288,9
1426231194493112320,3
1172522167801655297,3
826321946,5
385467542,5
45739032,5
390479695,9
3322025554,1
1251855665536131072,6
99190286,5
272446421,3
1110193139644579841,9
273012135,9
1432735179869675522,10
1426016587484631042,10
1417603236446576641,5
42333440,9
133034917,9
555694647,4
1391027689377738754,9
2908589405,9
249270688,10
248844856,2
1511704586,10
1202258715384123392,4
1426891043287490562,4
99617893,5
1264307583910846465,7
521623257,4
1367863582986301442,10
868300549,7
302398816,9
854768162075803649,5
1465643732238315524,5
1134829560317562881,1
740896516001419264,3
950728159489658881,5
319430541,6
355947146,5
87928054,1
1367407266,7
240779805,5
1679396268,7
572873975,3
561709364,5
224685897,5
811256885642989568,5
241263317,10
138530269,9
218561484,1
1422674077219753992,3
2415944118,8
221119656,8
883401087213907970,9
1258363867,5
1468702980,1
502238324,9
708847338043875328,10
93730125,4
433050682,5
217936192,10
1245590979534417922,5
713130404404924416,4
301378803,7
1396604195642429441,10
874605045601513474,8
1381771007430627329,7
1395240570306666497,7
282132526,5
1371203306845044751,5
1225800540,9
1399891437249044482,5
141481031,7
859782369624150016,4
806529768900399105,10
361026987,5
1257138518951899137,3
1004078880,5
53662318,5
1395200800545193984,5
813038373850017792,5
1417677251307581442,10
976491172930707456,8
349130806,2
1153092604357226496,4
1311773716200783873,9
737414586,9
173141267,10
1362899682,5
618827127,2
713479155,7
2384842876,7
2949631983,7
2460366338,9
589119178,5
139858294,5
1456297815404068871,2
1425449276180684805,10
1388251676310712321,8
440534889,5
274793489,1
1129213672717508608,5
1468185834042109957,5
938149454,8
890011581052059648,8
1248980769474859008,3
234789542,8
1445133675390251012,7
1394803855674781699,3
1464385869746511881,10
1448825891858132992,10
150148511,2
1458154989411520516,8
792220387,5
1468185834042109957,9
58586636,5
584165857,5
1427607136197042178,10
1361522225099202561,2
158896967,4
1417960646327549957,5
1360984325358051329,5
1432140601059905543,1
1408779933296611337,2
1264172022550183936,5
1009731584,1
1139179132477218816,10
1250053953049579520,5
879448008152231936,5
437276769,7
1457088215698100230,10
1053866918,1
3438603041,10
402274069,5
1167184940,3
2537079538,8
1374638778,10
118538972,9
837793998,5
3711911661,4
868300549,5
1447711840688091140,6
140089416,7
927648323141537792,3
1257520171356389378,2
1459586474605785090,9
1202258715384123392,10
1360007244746743809,1
1469828933268951043,4
700392450091831296,8
1295051796369506304,5
981376717402071040,3
1402737762013483009,9
1246180763558649857,2
1440030436084772872,8
1390087182837243907,10
1397227605833756675,1
1418031835813134336,5
423107803,2
2154027360,5
375274249,5
792880423,5
3087470963,5
1181612554403143680,2
985699296279490562,6
116156685,7
1351692031677100034,5
700449547185688576,5
1380369972342489088,10
943194901851844609,5
193774025,5
583076854,2
359706591,1
1453323654113239050,6
463831034,10
1343969777954545664,2
3379354239,5
785631123334397952,2
338098695,5
1124455821025394689,6
534443886,10
1436794962100854786,3
1402425152168726532,10
1045686310068006914,9
1452099065378914307,7
1192641438800105473,9
152750105,5
263467914,5
963043199341252608,5
1055917372622684160,7
1156636039760568322,5
1601197040,5
772244278059884544,8
768354806,5
150679187,9
142897703,1
3091309554,5
1397240910363217921,8
1268971528345059334,8
1260857223355432960,5
745111908,6
1388671158120288259,7
940209666,10
1025075715966988288,9
900398475120181249,1
472178682,5
2517985543,7
122602818,2
1112770573598408704,2
758856351476953088,6
969827596832837632,7
1390802104407703557,5
1029012488296247298,3
227274783,8
1247342086208262145,5
160555883,7
1290844255846629376,8
1201679138744086528,9
1448012703478554639,8
114523162,7
465080178,3
1283515174658465792,1
909786240706281472,5
313977535,6
992428372339908608,10
221119656,6
1077187219926994944,6
3437925639,2
400348341,4
1193166991441436673,5
900884176261586944,9
1246180763558649857,7
389837318,3
1285450299356913665,5
1332808893181943809,1
1661508913,8
383457364,4
1419518563296194560,7
481310801,5
1202258715384123392,8
92967143,1
1145289932,3
2256550377,5
1058100952174116866,1
1459971610551758864,3
1467123106137399296,3
551442359,8
1203036735124455424,5
1400318283295887360,6
988035773063729152,5
314840449,1
127699318,9
120914336,5
1362141518,1
1313898733,5
1457360889670258692,10
156462040,3
393409964,5
1464022505266552835,10
1120801970682499077,10
1458329072,5
1441934611945123846,1
331045840,5
902972058,5
150046133,5
1885283928,5
1438563500989861897,1
3217202174,5
432621081,8
1288498999603933187,3
1460965168377221124,1
1457879965295390721,4
616398848,5
825129633922314240,5
1095989535052316674,4
1437198478459949068,3
707030639,10
1281760023740321792,8
127237421,5
108704295,3
2947412091,6
1152160093,1
137592434,10
803814493,6
1038544116,5
321071052,1
1197713808422293504,5
916516121263656960,10
2926189578,6
88093961,1
233716332,3
143865015,8
285941601,10
1291217152054382596,3
1468936993,5
467666707,7
3366870730,8
99726889,7
2331179741,1
1388825444791865349,5
799615048889069569,10
758396144326246402,4
789487975,1
316580139,10
902951520,8
1255564248,10
1143717800,4
126510523,5
2617681453,7
1460056150590775301,2
1123628780,5
1145633347,7
2373215786,9
1448413544672899075,10
1319764690914938881,3
138629130,5
233813207,2
1096088494768906246,4
786694297148096512,1
166346406,3
902448212,6
764189554626658304,9
1436416858912133123,7
221119656,5
1202258715384123392,8
827940539077099520,7
872946912822951941,5
1051226455756234754,5
1346221534365544448,3
338152580,10
1438563500989861897,2
1887181074,6
1134829560317562881,5
1298704456809406465,5
136368318,6
3422260493,5
992834211655667719,10
988035773063729152,10
1464969997260894209,1
