Id,modularity_class
2714595154,3
1192053449317371904,3
1453894843940356098,3
722990625021386752,2
1315408668,3
1139179132477218816,4
943527397881712641,3
983170044,2
72577202,3
2511472471,4
363732882,1
1252062746813833218,2
308267421,3
333560580,4
587855984,1
1020186431719968768,4
2425819854,1
171255427,2
56540917,1
1289026084231622661,3
1463254635842396163,4
1299013400534691840,4
341522757,3
67061592,3
1458533275790684160,2
1433783572440227840,4
1391442259128750081,3
2644687779,1
2757511621,2
53187962,4
767943741294379008,1
1019912326647107585,1
1267430720,3
792710671,3
872152734304272384,3
3450481455,2
1337052141232549888,2
1307393510,3
48213555,2
1417518259021172737,1
1431688557941362688,3
65801002,2
739809694865346560,1
38670671,3
793886411694931968,2
342726159,4
2516525852,1
1397195988847185929,2
1460545068323188738,1
1401651851632709639,1
1898381996,2
1083352836954562571,2
1446694806047047687,3
587057020,2
181515824,1
1345121963346456577,3
840619254005276672,1
2802149120,1
65158094,1
1549127142,2
76024692,1
403817597,2
143279040,3
1274841301066924033,2
1391839520170119169,1
1705745274,4
3544845552,3
585979805,3
1351972494983524352,4
613468770,3
1092893223159246848,3
1403704691830165506,3
1349128549601521665,3
2953840288,2
1200163179080376325,3
851236205979213824,2
1428159327798448130,4
778928781994106882,4
1105802408838524928,3
1111657565782507520,2
1171902450355331074,3
1663288981,1
1034192325071790081,3
702688555366227969,3
1452012289670922242,3
274793489,2
583076854,4
1470746230984790023,1
404712200,3
705757699699580929,4
1427374274025766921,3
297503036,2
1095507121679093760,4
1388175215092543497,3
2836806941,2
508350013,2
1402726632721465345,3
1330214054,3
67469040,3
1268322417962876928,1
900398475120181249,4
1397284656626782212,1
1281547662,3
1450448406636290060,4
303762854,1
1409692461035929602,3
256866955,3
254243518,1
2573225521,4
133837433,2
249928382,2
939531143606652929,2
1426667264674340865,1
221119656,4
3096881915,4
611139767,4
222191553,2
552288653,2
2221123976,4
1321971651916058624,4
765226634072948737,3
1020309238135042048,3
1418378078280196099,2
3000198738,1
2228119799,3
430929910,3
871558703400587268,3
1449108842734829568,1
214890481,1
1408834670112935938,3
319104097,4
976692753575940096,3
178850323,4
1458069233053704195,1
1202258715384123392,4
2418236532,3
1390748565664829443,2
1188853188406976513,2
1390405949911977984,3
974437117932789761,3
338336081,2
1359693377017634831,4
160345050,3
136093514,3
1187642443690369024,3
142066643,3
252381982,1
1468185834042109957,4
1233764666163200001,3
565851876,4
106197988,2
324500106,3
1152280054954647553,4
1367272535071600641,2
1270487581,2
79840840,1
374046229,1
1404204153963008000,4
1427051264626634755,4
1358506347881500674,3
2526203845,3
243480522,2
1390819072271659010,3
1411203075981910016,2
1240484010318594048,1
927154299427348480,4
1947427946,4
1586515656,4
2595135115,3
354653554,3
1395884586,3
344799400,1
1039517168856190976,3
1094693760766824448,3
577181040,4
2565848868,2
1283428509281669120,4
1309615085787197440,3
1402738207796744200,3
711303414752403456,3
2184693770,3
460676657,1
83861270,4
441260884,3
1320843340980621313,1
98781946,1
1586436913,3
146911084,4
1392388931694612481,3
162220870,4
104579130,4
1458154989411520516,3
473338133,1
1471746581925928960,1
1251603729645789184,2
1448103553315262471,4
1437817086944886789,3
382461463,3
395433664,1
1453888432128860162,1
1058825276522708994,4
1053866918,4
1339436504138063875,3
588455845,3
1399891437249044482,1
1475205517161246731,1
703865371,3
2470298064,3
1425891412684546051,3
807971712,3
128040668,2
254794000,3
1321897121210093568,4
1274478651447394304,1
2181047918,1
179584524,2
1452787285204811779,3
1421890780671660039,3
59828075,3
1318331066462179328,2
613961679,3
1394260531364737024,3
1400099953,4
1093542753504514048,3
972455670825078785,1
2801189524,2
726527448,3
2305782774,3
1394755085243138051,1
907034257905856519,3
1379059858641711112,3
1403147577525260289,2
1399186547363270659,1
1404857671975571456,3
1107048478671360000,2
214461328,4
1158405704,4
261053026,1
3009334558,2
1241087494172618754,3
139086342,1
2339659695,3
2443109097,2
1430531230123110410,2
556494616,3
1335393812,2
1226592272,1
1134549458182639616,2
1388825444791865349,1
823348278830002177,2
1280938946126655488,3
174000936,4
2327099293,4
1258363867,2
389536078,1
3159859803,2
1059431953,4
3410969116,3
934614789703323648,3
1350982045355433984,3
1167373183,3
394137629,3
206456028,3
1291521660093370370,3
221612958,3
417487778,3
1165007952937410570,3
2826806112,1
1278161569,4
803092813,2
3385263034,1
556444924,3
1398499709107556356,3
2527477027,3
278747738,2
1623081391,2
1442491522490900489,4
143551337,3
1455951781,2
1471000308,2
1260280738718593024,4
1402128221399814144,4
1478377154958213128,4
222325929,1
561709364,1
66711542,2
489360205,3
119153073,1
1304621413660229633,3
105697603,1
1323380542025441282,3
175448120,3
1379456574784167943,1
1384857508217491456,2
707030639,1
118786993,4
1371203306845044751,4
707204555457601536,2
67444946,3
1359470161477193733,3
3158015127,3
939673813532532736,2
171918478,3
1394642868153856004,3
404229987,4
230938600,4
229909524,4
475974814,1
138806574,1
1321093674399338499,4
1469461817172897792,2
133366340,3
950100205,3
1457826976828477441,4
2557364433,3
604455497,1
2411896513,2
1080247304840454144,1
1012356066,4
1465643732238315524,3
3855728363,1
2401772382,1
1342988437662687232,3
103946846,4
4027096827,3
735305480185208834,4
381501226,3
1387812343162277888,4
1313224995468972034,3
1291050484237729792,3
1393631341921570822,3
