source,target
49849732,7
49849732,10
25185308,10
25185308,2
25185308,9
1400099953,8
1400099953,10
1400099953,1
1400099953,5
262814659,10
262814659,2
262814659,6
262814659,10
262814659,10
262814659,10
262814659,10
262814659,10
262814659,6
262814659,10
262814659,10
262814659,5
262814659,10
262814659,6
262814659,10
262814659,10
262814659,10
262814659,10
262814659,10
262814659,1
262814659,10
262814659,10
262814659,5
262814659,10
262814659,5
262814659,10
262814659,10
262814659,9
262814659,10
350862112,7
62154340,10
62154340,5
149281495,5
149281495,10
149281495,2
149281495,2
149281495,2
148925237,10
148925237,7
148925237,1
148925237,10
148925237,2
148925237,10
148925237,2
148925237,1
148925237,9
148925237,10
148925237,10
108717093,2
108717093,5
108717093,10
108717093,1
108717093,10
108717093,10
108717093,10
108717093,1
108717093,1
108717093,10
108717093,10
108717093,8
108717093,2
108717093,6
108717093,10
108717093,10
108717093,7
823348278830002177,2
823348278830002177,5
31162623,7
31162623,3
31162623,2
31162623,7
31162623,6
31162623,7
31162623,9
31162623,9
31162623,2
31162623,10
31162623,5
31162623,10
31162623,5
31162623,5
31162623,2
31162623,5
31162623,10
31162623,10
31162623,10
31162623,10
31162623,10
31162623,1
31162623,2
31162623,10
31162623,10
31162623,10
31162623,10
31162623,10
31162623,10
31162623,7
31162623,10
31162623,5
31162623,5
31162623,5
31162623,2
31162623,9
31162623,1
31162623,10
31162623,6
31162623,10
31162623,6
31162623,10
43395943,10
43395943,10
43395943,1
43395943,1
43395943,6
43395943,10
43395943,10
43395943,5
43395943,1
43395943,10
43395943,10
43395943,10
43395943,10
43395943,10
43395943,10
43395943,10
43395943,10
43395943,10
43395943,10
43395943,10
43395943,10
43395943,10
43395943,2
43395943,10
43395943,10
43395943,10
49681553,10
49681553,10
860563925800235008,5
860563925800235008,7
860563925800235008,1
860563925800235008,10
860563925800235008,10
860563925800235008,10
860563925800235008,10
1387812343162277888,3
1387812343162277888,1
1387812343162277888,6
1387812343162277888,2
1387812343162277888,1
1387812343162277888,1
1387812343162277888,1
1387812343162277888,9
1387812343162277888,1
1387812343162277888,1
1387812343162277888,5
1387812343162277888,10
1387812343162277888,10
1387812343162277888,1
1387812343162277888,9
1387812343162277888,1
1387812343162277888,1
1387812343162277888,1
1387812343162277888,1
1387812343162277888,10
1387812343162277888,10
1387812343162277888,6
1387812343162277888,10
1387812343162277888,3
1387812343162277888,10
1387812343162277888,1
66711542,10
66711542,6
66711542,1
66711542,10
66711542,10
66711542,2
66711542,10
66711542,10
66711542,10
66711542,2
66711542,10
66711542,1
66711542,7
66711542,10
110590953,10
66711542,10
66711542,2
66711542,2
66711542,2
66711542,2
66711542,9
