Id,Label,timeset,modularity_class
2714595154,,,3
1242195788895305729,,,0
1192053449317371904,,,3
1453894843940356098,,,3
722990625021386752,,,2
539210296,,,0
1315408668,,,3
2178999576,,,0
1139179132477218816,,,4
943527397881712641,,,3
983170044,,,2
72577202,,,3
2757496506,,,0
2511472471,,,4
1154007404448817154,,,0
363732882,,,1
1252062746813833218,,,2
606049877,,,0
308267421,,,3
333560580,,,4
1356663090734063620,,,0
149281495,PalomaValenciaL,,0
1449016681414660100,,,0
587855984,,,1
472178682,,,0
989977760,,,0
1020186431719968768,,,4
2425819854,,,1
171255427,,,2
56540917,,,1
1395138021209542656,,,0
1289026084231622661,,,3
1158894077989064704,,,0
1463254635842396163,,,4
1445092679566639104,,,0
1299013400534691840,,,4
524779188,,,0
341522757,,,3
67061592,,,3
1454572322162159619,,,0
2909824234,,,0
191465222,DefensoriaCol,,0
1458533275790684160,,,2
1433783572440227840,,,4
1391442259128750081,,,3
2644687779,,,1
2757511621,,,2
53187962,Rodrigo_Lara_,,4
767943741294379008,,,1
1019912326647107585,,,1
1014669759521153024,,,0
1267430720,,,3
193774025,,,0
71844329,,,0
972926900350996480,,,0
792710671,,,3
872152734304272384,,,3
3450481455,,,2
1337052141232549888,,,2
1307393510,,,3
48213555,,,2
1417518259021172737,,,1
1431688557941362688,,,3
1362612134480338948,,,0
1207838821750054912,,,0
65801002,,,2
1096832935,,,0
238682666,,,0
392320818,,,0
739809694865346560,,,1
1455939652372901888,,,0
38670671,AABenedetti,,3
793886411694931968,,,2
342726159,,,4
2516525852,,,1
1397195988847185929,,,2
1460545068323188738,,,1
1401651851632709639,,,1
1387100090188316676,,,0
1898381996,,,2
1083352836954562571,,,2
1191684504966041600,,,0
1446694806047047687,,,3
587057020,,,2
181515824,,,1
1345121963346456577,,,3
840619254005276672,,,1
138870021,,,0
2802149120,,,1
65158094,,,1
1549127142,,,2
1450862758703026181,,,0
76024692,,,1
403817597,,,2
143279040,,,3
1274841301066924033,,,2
1391839520170119169,,,1
1705745274,,,4
3544845552,CatatumbComunes,,3
585979805,,,3
332431446,,,0
1351972494983524352,,,4
1402362668602826761,,,0
613468770,,,3
1092893223159246848,,,3
1403704691830165506,,,3
1349128549601521665,,,3
2953840288,,,2
1200163179080376325,,,3
1105161589,,,0
1326366048233398273,,,0
1460056150590775301,,,0
851236205979213824,,,2
1380692378114228231,,,0
1428159327798448130,,,4
778928781994106882,,,4
1105802408838524928,,,3
1111657565782507520,,,2
1171902450355331074,,,3
1663288981,,,1
1034192325071790081,,,3
702688555366227969,,,3
1452012289670922242,,,3
350862112,MariaFdaCabal,,0
274793489,,,2
583076854,,,4
1470746230984790023,,,1
404712200,,,3
705757699699580929,,,4
1369388045762519042,,,0
381873531,,,0
1096108302239481856,,,0
1248980769474859008,,,0
1427374274025766921,,,3
297503036,,,2
1095507121679093760,,,4
1388175215092543497,,,3
2836806941,,,2
508350013,,,2
1402726632721465345,,,3
1272529117553070082,,,0
1330214054,,,3
67469040,,,3
1319584849355825153,,,0
1268322417962876928,,,1
900398475120181249,,,4
1397284656626782212,,,1
1281547662,,,3
1450448406636290060,,,4
833898821201575936,,,0
1317098718,,,0
303762854,,,1
1409692461035929602,,,3
256866955,,,3
254243518,,,1
346664648,,,0
2573225521,,,4
133837433,,,2
249928382,,,2
939531143606652929,,,2
1437198478459949068,,,0
1426667264674340865,,,1
884596371243847680,,,0
221119656,,,4
3096881915,,,4
611139767,,,4
222191553,,,2
552288653,,,2
2221123976,,,4
1321971651916058624,,,4
765226634072948737,,,3
217936192,,,0
1020309238135042048,,,3
1418378078280196099,,,2
3000198738,,,1
1350035405106798592,,,0
2228119799,,,3
430929910,,,3
871558703400587268,,,3
1449108842734829568,,,1
214890481,,,1
1408834670112935938,,,3
1258980721399664640,,,0
718053505441861632,,,0
1390450871708917765,,,0
319104097,,,4
976692753575940096,,,3
178850323,,,4
1458069233053704195,,,1
1202258715384123392,,,4
2418236532,,,3
1390748565664829443,,,2
1196391582951456768,,,0
987996306,,,0
1213846082,,,0
1188853188406976513,,,2
1390405949911977984,,,3
974437117932789761,,,3
338336081,,,2
1448419064108535812,,,0
1316176279968854017,,,0
1359693377017634831,,,4
160345050,,,3
136093514,,,3
1708571544,,,0
1187642443690369024,,,3
142066643,,,3
252381982,,,1
1468185834042109957,,,4
1294198547429167104,,,0
1233764666163200001,,,3
1700331721,,,0
565851876,,,4
1405304622156337152,,,0
106197988,,,2
324500106,,,3
902448212,,,0
1152280054954647553,,,4
1367272535071600641,,,2
1270487581,,,2
79840840,,,1
374046229,,,1
1404204153963008000,,,4
1427051264626634755,,,4
1358506347881500674,,,3
1927907666,,,0
2526203845,,,3
243480522,,,2
1390819072271659010,,,3
1411203075981910016,,,2
1240484010318594048,,,1
927154299427348480,,,4
1947427946,,,4
899618990414233602,,,0
1586515656,,,4
2595135115,,,3
354653554,,,3
1106839910,,,0
1355208568765636614,,,0
1395884586,,,3
2569929948,,,0
344799400,,,1
1039517168856190976,,,3
1094693760766824448,,,3
577181040,,,4
2565848868,,,2
1283428509281669120,,,4
1309615085787197440,,,3
1402738207796744200,,,3
711303414752403456,,,3
2184693770,,,3
460676657,,,1
83861270,EfrainCepeda,,4
441260884,,,3
1320843340980621313,,,1
99085030,,,0
98781946,IvanCepedaCast,,1
1586436913,,,3
146911084,,,4
1392388931694612481,,,3
162220870,,,4
104579130,,,4
1458154989411520516,,,3
473338133,PGN_COL,,1
1471746581925928960,,,1
1251603729645789184,,,2
1448103553315262471,,,4
3289306227,,,0
1437817086944886789,,,3
382461463,,,3
395433664,,,1
1453888432128860162,,,1
951854255564099584,,,0
1058825276522708994,,,4
1885283928,,,0
1053866918,,,4
1339436504138063875,,,3
588455845,,,3
1399891437249044482,,,1
1475205517161246731,,,1
703865371,,,3
2470298064,,,3
1200132526121136129,,,0
1425891412684546051,,,3
1104552108987215873,,,0
807971712,,,3
128040668,,,2
254794000,,,3
1321897121210093568,,,4
1274478651447394304,,,1
1204184263144464385,,,0
2181047918,,,1
179584524,velascoluisf,,2
1452787285204811779,,,3
1713595148,,,0
144571750,,,0
1421890780671660039,,,3
59828075,,,3
1318331066462179328,,,2
613961679,,,3
1394260531364737024,,,3
1400099953,ingrodolfohdez,,4
1093542753504514048,,,3
972455670825078785,,,1
2801189524,,,2
726527448,,,3
2305782774,,,3
1289387005948891136,,,0
1394755085243138051,,,1
907034257905856519,,,3
1379059858641711112,,,3
1403147577525260289,,,2
1399186547363270659,,,1
1342443787,,,0
1404857671975571456,,,3
3249278032,,,0
1107048478671360000,,,2
214461328,,,4
1158405704,,,4
261053026,,,1
3009334558,,,2
